"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
62,"propMissAct_0.23_autoCorr_0.49","ar1",0.392746881429443,0.0427253393082768,"MAR","dropNA_simple",62
62,"propMissAct_0.23_autoCorr_0.49","intercept",4.69062950105016,0.592481688860507,"MAR","dropNA_simple",62
62,"propMissAct_0.23_autoCorr_0.49","xreg1",1.6418136484494,0.171418730084586,"MAR","dropNA_simple",62
62,"propMissAct_0.23_autoCorr_0.49","xreg2",-1.46296414045931,0.166881284708193,"MAR","dropNA_simple",62
62,"propMissAct_0.23_autoCorr_0.49","sigma",0.571326625597111,NA,"MAR","dropNA_simple",62
62,"propMissAct_0.38_autoCorr_0.49","ar1",0.397645610091798,0.0449873976782788,"MAR","dropNA_simple",62
62,"propMissAct_0.38_autoCorr_0.49","intercept",5.02222131007335,0.729494746773471,"MAR","dropNA_simple",62
62,"propMissAct_0.38_autoCorr_0.49","xreg1",1.81909552834721,0.18604489754836,"MAR","dropNA_simple",62
62,"propMissAct_0.38_autoCorr_0.49","xreg2",-1.58770066644483,0.205355794897939,"MAR","dropNA_simple",62
62,"propMissAct_0.38_autoCorr_0.49","sigma",0.593528816956221,NA,"MAR","dropNA_simple",62
62,"propMissAct_0.58_autoCorr_0.53","ar1",0.342548637427797,0.059441149645866,"MAR","dropNA_simple",62
62,"propMissAct_0.58_autoCorr_0.53","intercept",4.4871526938895,0.877047384339481,"MAR","dropNA_simple",62
62,"propMissAct_0.58_autoCorr_0.53","xreg1",1.50962723845188,0.248671255141683,"MAR","dropNA_simple",62
62,"propMissAct_0.58_autoCorr_0.53","xreg2",-1.41039297537703,0.24443827319219,"MAR","dropNA_simple",62
62,"propMissAct_0.58_autoCorr_0.53","sigma",0.770703857153751,NA,"MAR","dropNA_simple",62
62,"propMissAct_0.23_autoCorr_0.49","ar1",0.36358604681142,0.0471362744701229,"MAR","dropNA_complete",62
62,"propMissAct_0.23_autoCorr_0.49","intercept",4.7931118109213,0.611030279258656,"MAR","dropNA_complete",62
62,"propMissAct_0.23_autoCorr_0.49","xreg1",1.57945200326561,0.186390196313033,"MAR","dropNA_complete",62
62,"propMissAct_0.23_autoCorr_0.49","xreg2",-1.48122072838655,0.172563346642508,"MAR","dropNA_complete",62
62,"propMissAct_0.23_autoCorr_0.49","sigma",0.592727250053655,NA,"MAR","dropNA_complete",62
62,"propMissAct_0.38_autoCorr_0.49","ar1",0.355130488787125,0.0512646561070745,"MAR","dropNA_complete",62
62,"propMissAct_0.38_autoCorr_0.49","intercept",5.57834738253401,0.784475523503989,"MAR","dropNA_complete",62
62,"propMissAct_0.38_autoCorr_0.49","xreg1",1.80257364364133,0.204169499565011,"MAR","dropNA_complete",62
62,"propMissAct_0.38_autoCorr_0.49","xreg2",-1.74301969612363,0.221956749085487,"MAR","dropNA_complete",62
